Date of report,Days,Total,China,Death China,Other,Death Outside,Death Globally,Hubei Confirmed,Hubei Deaths,Hubei Recovered,Hubei Total
1/20/2020,21,282,278,6,4,0,6,444,17,28,489
1/21/2020,22,346,341,6,4,0,6,444,17,28,489
1/23/2020,24,581,571,17,7,0,17,549,24,31,604
1/24/2020,25,846,830,25,11,0,25,761,40,32,833
1/25/2020,26,1320,1297,41,23,0,41,1058,52,42,1152
1/26/2020,27,2014,1985,56,29,0,56,1423,76,45,1544
1/27/2020,28,2798,2761,80,37,0,80,3554,125,80,3759
1/28/2020,29,4593,4537,106,56,0,106,3554,125,88,3767
1/29/2020,30,6065,5997,132,68,0,132,4903,162,90,5155
1/30/2020,31,7818,7736,170,82,0,170,5806,204,141,6151
1/31/2020,32,9826,9720,213,106,0,213,7153,249,168,7570
2/1/2020,33,11953,11821,259,132,0,259,11177,350,295,11822
2/2/2020,34,14557,14411,304,146,1,305,13522,414,386,14322
2/3/2020,35,17391,17238,361,153,1,362,16678,479,522,17679
2/4/2020,36,20630,20471,425,159,1,426,19665,549,633,20847
2/5/2020,37,24554,24363,491,191,1,492,22112,618,817,23547
2/6/2020,38,28276,28060,564,216,1,565,24953,699,1115,26767
2/7/2020,39,31481,31211,637,270,1,638,27100,780,1439,29319
2/8/2020,40,34886,34598,723,288,1,724,29631,871,1795,32297
2/9/2020,41,37558,37251,812,307,1,813,31728,974,2222,34924
2/10/2020,42,40554,40235,909,319,1,910,33366,1068,2639,37073
2/11/2020,43,43103,42708,1017,395,1,1018,33366,1068,2686,37120
2/12/2020,44,45171,44730,1114,441,1,1115,48206,1310,3459,52975
2/13/2020,45,46997,46550,1368,447,1,1369,54406,1457,4774,60637
2/14/2020,46,49053,48548,1381,505,2,1383,56249,1596,5623,63468
2/15/2020,47,50580,50054,1524,526,2,1526,58182,1696,6639,66517
2/16/2020,48,51857,51174,1666,683,3,1669,59989,1789,7862,69640
2/17/2020,49,71429,70635,1772,794,3,1775,61682,1921,9128,72731
2/18/2020,50,73332,72528,1870,804,3,1873,62031,2029,10337,74397
2/19/2020,51,75204,74280,2006,924,3,2009,62442,2144,11788,76374
2/20/2020,52,75748,74675,2121,1073,8,2129,62662,2144,11881,76687
2/21/2020,53,76769,75569,2239,1200,8,2247,64084,2346,15299,81729
2/22/2020,54,77794,76392,2348,1402,11,2359,64084,2346,15343,81773
2/23/2020,55,78811,77042,2445,1769,17,2462,64287,2495,16748,83530
2/24/2020,56,79331,77262,2595,2069,23,2618,64786,2563,18971,86320
2/25/2020,57,80239,77780,2666,2459,34,2700,65187,2615,20969,88771
2/26/2020,58,81109,78191,2718,2918,44,2762,65596,2641,23383,91620
2/27/2020,59,82294,78630,2747,3664,57,2804,65914,2682,26403,94999
2/28/2020,60,83652,78961,2791,4691,67,2858,66337,2727,28993,98057
2/29/2020,61,85403,79394,2838,6009,86,2924,66907,2761,31536,101204
3/1/2020,62,87137,79579,2873,7169,104,2977,67103,2803,33934,103840
3/2/2020,63,,,,,,,67217,2835,36208,106260
3/3/2020,64,,,,,,,67332,2871,38557,108760
3/4/2020,65,,,,,,,67466,2902,40592,110960
3/5/2020,66,,,,,,,67592,2931,42033,112556
3/6/2020,67,,,,,,,67666,2959,43500,114125
3/7/2020,68,,,,,,,67707,2986,45235,115928
3/8/2020,69,,,,,,,67743,3008,46488,117239
3/9/2020,70,,,,,,,67760,3024,47743,118527
3/10/2020,71,,,,,,,67773,3046,49134,119953
3/11/2020,72,,,,,,,67781,3056,50318,121155
