DT,Kasus (Kumulatif),Kasus Baru,Sembuh (baru),Meninggal (baru),ARecovered,Adeath
3/2/2020,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0
3/4/2020,0,0,0,0,0,0
3/5/2020,0,0,0,0,0,0
3/6/2020,0,0,0,0,0,0
3/7/2020,1,1,0,0,0,0
3/8/2020,4,3,0,0,0,0
3/9/2020,4,0,0,0,0,0
3/10/2020,4,0,0,0,0,0
3/11/2020,5,1,0,0,0,0
3/12/2020,8,3,0,0,0,0
3/13/2020,10,2,0,0,0,0
3/14/2020,12,2,0,0,0,0
3/15/2020,12,0,0,0,0,0
3/16/2020,12,0,0,0,0,0
3/17/2020,12,0,0,0,0,0
3/18/2020,13,1,0,0,0,0
3/19/2020,13,0,0,0,0,0
3/20/2020,14,1,0,0,0,0
3/21/2020,14,0,0,0,0,0
3/22/2020,16,2,0,0,0,0
3/23/2020,16,0,0,0,0,0
3/24/2020,16,0,1,0,1,0
3/25/2020,16,0,0,0,1,0
3/26/2020,16,0,0,0,1,0
3/27/2020,16,0,0,0,1,0
3/28/2020,16,0,0,0,1,0
3/29/2020,16,0,11,0,12,0
3/30/2020,16,0,0,0,12,0
3/31/2020,16,0,0,0,12,0
