sort,Province/State,Country/Region,Date,Death,Confirmed,Recovered
278,Hubei,Hubei,4/16/2020,3222,67803,64435
277,Hubei,Hubei,4/15/2020,3222,67803,64402
276,Hubei,Hubei,4/14/2020,3221,67803,64363
275,Hubei,Hubei,4/13/2020,3221,67803,64338
274,Hubei,Hubei,4/12/2020,3219,67803,64281
273,Hubei,Hubei,4/11/2020,3219,67803,64264
272,Hubei,Hubei,4/10/2020,3216,67803,64236
271,Hubei,Hubei,4/9/2020,3215,67803,64187
270,Hubei,Hubei,4/8/2020,3213,67803,64142
269,Hubei,Hubei,4/7/2020,3212,67803,64073
268,Hubei,Hubei,4/6/2020,3212,67803,64014
267,Hubei,Hubei,4/5/2020,3210,67803,63945
266,Hubei,Hubei,4/4/2020,3207,67803,63762
265,Hubei,Hubei,4/3/2020,3203,67802,63612
264,Hubei,Hubei,4/2/2020,3199,67802,63471
263,Hubei,Hubei,4/1/2020,3193,67802,63326
262,Hubei,Hubei,3/31/2020,3187,67801,63153
261,Hubei,Hubei,3/30/2020,3186,67801,62889
260,Hubei,Hubei,3/29/2020,3182,67801,62570
259,Hubei,Hubei,3/28/2020,3177,67801,62098
258,Hubei,Hubei,3/27/2020,3174,67801,61732
257,Hubei,Hubei,3/26/2020,3169,67801,61201
256,Hubei,Hubei,3/25/2020,3163,67801,60811
255,Hubei,Hubei,3/24/2020,3160,67801,60324
254,Hubei,Hubei,3/23/2020,3153,67800,59879
253,Hubei,Hubei,3/22/2020,3153,67800,59433
252,Hubei,Hubei,3/21/2020,3139,67800,58946
251,Hubei,Hubei,3/20/2020,3133,67800,58382
250,Hubei,Hubei,3/19/2020,3130,67800,57682
249,Hubei,Hubei,3/18/2020,3122,67800,56927
248,Hubei,Hubei,3/17/2020,3111,67799,56003
247,Hubei,Hubei,3/16/2020,3099,67798,55142
246,Hubei,Hubei,3/15/2020,3085,67794,54288
245,Hubei,Hubei,3/14/2020,3075,67790,52960
244,Hubei,Hubei,3/13/2020,3062,67786,51553
243,Hubei,Hubei,3/12/2020,3056,67781,50318
242,Hubei,Hubei,3/11/2020,3046,67773,49134
241,Hubei,Hubei,3/10/2020,3024,67760,47743
240,Hubei,Hubei,3/9/2020,3008,67743,46488
239,Hubei,Hubei,3/8/2020,2986,67707,45235
238,Hubei,Hubei,3/7/2020,2959,67666,43500
237,Hubei,Hubei,3/6/2020,2931,67592,42033
236,Hubei,Hubei,3/5/2020,2902,67466,40592
235,Hubei,Hubei,3/4/2020,2871,67332,38557
234,Hubei,Hubei,3/3/2020,2835,67217,36208
233,Hubei,Hubei,3/2/2020,2803,67103,33934
232,Hubei,Hubei,3/1/2020,2761,66907,31536
231,Hubei,Hubei,2/29/2020,2727,66337,28993
230,Hubei,Hubei,2/28/2020,2682,65914,26403
229,Hubei,Hubei,2/27/2020,2641,65596,23383
228,Hubei,Hubei,2/26/2020,2615,65187,20969
227,Hubei,Hubei,2/25/2020,2563,64786,18971
226,Hubei,Hubei,2/24/2020,2495,64287,16748
225,Hubei,Hubei,2/23/2020,2346,64084,15343
224,Hubei,Hubei,2/22/2020,2346,64084,15299
223,Hubei,Hubei,2/21/2020,2144,62662,11881
222,Hubei,Hubei,2/20/2020,2144,62442,11788
221,Hubei,Hubei,2/19/2020,2029,62031,10337
220,Hubei,Hubei,2/18/2020,1921,61682,9128
219,Hubei,Hubei,2/17/2020,1789,59989,7862
218,Hubei,Hubei,2/16/2020,1696,58182,6639
217,Hubei,Hubei,2/15/2020,1596,56249,5623
216,Hubei,Hubei,2/14/2020,1457,54406,4774
215,Hubei,Hubei,2/13/2020,1310,48206,3459
214,Hubei,Hubei,2/12/2020,1068,33366,2686
213,Hubei,Hubei,2/11/2020,1068,33366,2639
212,Hubei,Hubei,2/10/2020,974,31728,2222
211,Hubei,Hubei,2/9/2020,871,29631,1795
210,Hubei,Hubei,2/8/2020,780,27100,1439
209,Hubei,Hubei,2/7/2020,699,24953,1115
208,Hubei,Hubei,2/6/2020,618,22112,817
207,Hubei,Hubei,2/5/2020,549,19665,633
206,Hubei,Hubei,2/4/2020,479,16678,522
205,Hubei,Hubei,2/3/2020,414,13522,386
204,Hubei,Hubei,2/2/2020,350,11177,295
203,Hubei,Hubei,2/1/2020,249,7153,168
202,Hubei,Hubei,1/31/2020,204,5806,141
201,Hubei,Hubei,1/30/2020,162,4903,90
200,Hubei,Hubei,1/29/2020,125,3554,88
199,Hubei,Hubei,1/28/2020,125,3554,80
198,Hubei,Hubei,1/27/2020,76,1423,45
197,Hubei,Hubei,1/26/2020,52,1058,42
196,Hubei,Hubei,1/25/2020,40,761,32
195,Hubei,Hubei,1/24/2020,24,549,31
194,Hubei,Hubei,1/23/2020,17,444,28
193,Hubei,Hubei,1/22/2020,17,444,28
192,,Germany,4/26/2020,5976,157770,112000
191,,Germany,4/25/2020,5877,156513,109800
190,,Germany,4/24/2020,5760,154999,109800
189,,Germany,4/23/2020,5575,153129,103300
188,,Germany,4/22/2020,5279,150648,99400
187,,Germany,4/21/2020,5033,148291,95200
186,,Germany,4/20/2020,4862,147065,91500
185,,Germany,4/19/2020,4586,145184,88000
184,,Germany,4/18/2020,4459,143342,85400
183,,Germany,4/17/2020,4352,141397,83114
182,,Germany,4/16/2020,4052,137698,77000
181,,Germany,4/15/2020,3804,134753,72600
180,,Germany,4/14/2020,3294,131359,68200
179,,Germany,4/13/2020,3194,130072,64300
178,,Germany,4/12/2020,3022,127854,60300
177,,Germany,4/11/2020,2736,124908,57400
176,,Germany,4/10/2020,2767,122171,53913
175,,Germany,4/9/2020,2607,118181,52407
174,,Germany,4/8/2020,2349,113296,46300
173,,Germany,4/7/2020,2016,107663,36081
172,,Germany,4/6/2020,1810,103374,28700
171,,Germany,4/5/2020,1584,100123,28700
170,,Germany,4/4/2020,1444,96092,26400
169,,Germany,4/3/2020,1275,91159,24575
168,,Germany,4/2/2020,1107,84794,22440
167,,Germany,4/1/2020,920,77872,18700
166,,Germany,3/31/2020,775,71808,16100
165,,Germany,3/30/2020,645,66885,13500
164,,Germany,3/29/2020,533,62095,9211
163,,Germany,3/28/2020,433,57695,8481
162,,Germany,3/27/2020,342,50871,6658
161,,Germany,3/26/2020,267,43938,5673
160,,Germany,3/25/2020,206,37323,3547
159,,Germany,3/24/2020,157,32986,3243
158,,Germany,3/23/2020,123,29056,266
