sort,Province/State,Country/Region,Date,Death,Confirmed,Recovered,Asymptomatic,Symptomatic
278,Hubei,Hubei,4/16/2020,3222,67803,64435,13561,54242
277,Hubei,Hubei,4/15/2020,3222,67803,64402,13561,54242
276,Hubei,Hubei,4/14/2020,3221,67803,64363,13561,54242
275,Hubei,Hubei,4/13/2020,3221,67803,64338,13561,54242
274,Hubei,Hubei,4/12/2020,3219,67803,64281,13561,54242
273,Hubei,Hubei,4/11/2020,3219,67803,64264,13561,54242
272,Hubei,Hubei,4/10/2020,3216,67803,64236,13561,54242
271,Hubei,Hubei,4/9/2020,3215,67803,64187,13561,54242
270,Hubei,Hubei,4/8/2020,3213,67803,64142,13561,54242
269,Hubei,Hubei,4/7/2020,3212,67803,64073,13561,54242
268,Hubei,Hubei,4/6/2020,3212,67803,64014,13561,54242
267,Hubei,Hubei,4/5/2020,3210,67803,63945,13561,54242
266,Hubei,Hubei,4/4/2020,3207,67803,63762,13561,54242
265,Hubei,Hubei,4/3/2020,3203,67802,63612,13560,54242
264,Hubei,Hubei,4/2/2020,3199,67802,63471,13560,54242
263,Hubei,Hubei,4/1/2020,3193,67802,63326,13560,54242
262,Hubei,Hubei,3/31/2020,3187,67801,63153,13560,54241
261,Hubei,Hubei,3/30/2020,3186,67801,62889,13560,54241
260,Hubei,Hubei,3/29/2020,3182,67801,62570,13560,54241
259,Hubei,Hubei,3/28/2020,3177,67801,62098,13560,54241
258,Hubei,Hubei,3/27/2020,3174,67801,61732,13560,54241
257,Hubei,Hubei,3/26/2020,3169,67801,61201,13560,54241
256,Hubei,Hubei,3/25/2020,3163,67801,60811,13560,54241
255,Hubei,Hubei,3/24/2020,3160,67801,60324,13560,54241
254,Hubei,Hubei,3/23/2020,3153,67800,59879,13560,54240
253,Hubei,Hubei,3/22/2020,3153,67800,59433,13560,54240
252,Hubei,Hubei,3/21/2020,3139,67800,58946,13560,54240
251,Hubei,Hubei,3/20/2020,3133,67800,58382,13560,54240
250,Hubei,Hubei,3/19/2020,3130,67800,57682,13560,54240
249,Hubei,Hubei,3/18/2020,3122,67800,56927,13560,54240
248,Hubei,Hubei,3/17/2020,3111,67799,56003,13560,54239
247,Hubei,Hubei,3/16/2020,3099,67798,55142,13560,54238
246,Hubei,Hubei,3/15/2020,3085,67794,54288,13559,54235
245,Hubei,Hubei,3/14/2020,3075,67790,52960,13558,54232
244,Hubei,Hubei,3/13/2020,3062,67786,51553,13557,54229
243,Hubei,Hubei,3/12/2020,3056,67781,50318,13556,54225
242,Hubei,Hubei,3/11/2020,3046,67773,49134,13555,54218
241,Hubei,Hubei,3/10/2020,3024,67760,47743,13552,54208
240,Hubei,Hubei,3/9/2020,3008,67743,46488,13549,54194
239,Hubei,Hubei,3/8/2020,2986,67707,45235,13541,54166
238,Hubei,Hubei,3/7/2020,2959,67666,43500,13533,54133
237,Hubei,Hubei,3/6/2020,2931,67592,42033,13518,54074
236,Hubei,Hubei,3/5/2020,2902,67466,40592,13493,53973
235,Hubei,Hubei,3/4/2020,2871,67332,38557,13466,53866
234,Hubei,Hubei,3/3/2020,2835,67217,36208,13443,53774
233,Hubei,Hubei,3/2/2020,2803,67103,33934,13421,53682
232,Hubei,Hubei,3/1/2020,2761,66907,31536,13381,53526
231,Hubei,Hubei,2/29/2020,2727,66337,28993,13267,53070
230,Hubei,Hubei,2/28/2020,2682,65914,26403,13183,52731
229,Hubei,Hubei,2/27/2020,2641,65596,23383,13119,52477
228,Hubei,Hubei,2/26/2020,2615,65187,20969,13037,52150
227,Hubei,Hubei,2/25/2020,2563,64786,18971,12957,51829
226,Hubei,Hubei,2/24/2020,2495,64287,16748,12857,51430
225,Hubei,Hubei,2/23/2020,2346,64084,15343,12817,51267
224,Hubei,Hubei,2/22/2020,2346,64084,15299,12817,51267
223,Hubei,Hubei,2/21/2020,2144,62662,11881,12532,50130
222,Hubei,Hubei,2/20/2020,2144,62442,11788,12488,49954
221,Hubei,Hubei,2/19/2020,2029,62031,10337,12406,49625
220,Hubei,Hubei,2/18/2020,1921,61682,9128,12336,49346
219,Hubei,Hubei,2/17/2020,1789,59989,7862,11998,47991
218,Hubei,Hubei,2/16/2020,1696,58182,6639,11636,46546
217,Hubei,Hubei,2/15/2020,1596,56249,5623,11250,44999
216,Hubei,Hubei,2/14/2020,1457,54406,4774,10881,43525
215,Hubei,Hubei,2/13/2020,1310,48206,3459,9641,38565
214,Hubei,Hubei,2/12/2020,1068,33366,2686,6673,26693
213,Hubei,Hubei,2/11/2020,1068,33366,2639,6673,26693
