DT,Confirmed,NewConfirmed,NewRecovered,NewDeaths,Recovered,Deaths,Active
2020-01-22,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0
2020-01-27,1,1,0,0,0,0,1
2020-01-28,4,3,0,0,0,0,4
2020-01-29,4,0,0,0,0,0,4
2020-01-30,4,0,0,0,0,0,4
2020-01-31,5,1,0,0,0,0,5
2020-02-01,8,3,0,0,0,0,8
2020-02-02,10,2,0,0,0,0,10
2020-02-03,12,2,0,0,0,0,12
2020-02-04,12,0,0,0,0,0,12
2020-02-05,12,0,0,0,0,0,12
2020-02-06,12,0,0,0,0,0,12
2020-02-07,13,1,0,0,0,0,13
2020-02-08,13,0,0,0,0,0,13
2020-02-09,14,1,0,0,0,0,14
2020-02-10,14,0,0,0,0,0,14
2020-02-11,16,2,0,0,0,0,16
2020-02-12,16,0,0,0,0,0,16
2020-02-13,16,0,1,0,1,0,15
2020-02-14,16,0,0,0,1,0,15
2020-02-15,16,0,0,0,1,0,15
2020-02-16,16,0,0,0,1,0,15
2020-02-17,16,0,0,0,1,0,15
2020-02-18,16,0,11,0,12,0,4
2020-02-19,16,0,0,0,12,0,4
2020-02-20,16,0,0,0,12,0,4
2020-02-21,16,0,2,0,14,0,2
2020-02-22,16,0,0,0,14,0,2
2020-02-23,16,0,0,0,14,0,2
2020-02-24,16,0,0,0,14,0,2
2020-02-25,17,1,0,0,14,0,3
2020-02-26,27,10,1,0,15,0,12
2020-02-27,46,19,1,0,16,0,30
2020-02-28,48,2,0,0,16,0,32
2020-02-29,79,31,0,0,16,0,63
2020-03-01,130,51,0,0,16,0,114
2020-03-02,159,29,0,0,16,0,143
2020-03-03,196,37,0,0,16,0,180
2020-03-04,262,66,0,0,16,0,246
2020-03-05,482,220,0,0,16,0,466
2020-03-06,670,188,1,0,17,0,653
2020-03-07,799,129,1,0,18,0,781
2020-03-08,1040,241,0,0,18,0,1022
2020-03-09,1176,136,0,2,18,2,1156
2020-03-10,1457,281,0,0,18,2,1437
2020-03-11,1908,451,7,1,25,3,1880
2020-03-12,2078,170,0,0,25,3,2050
2020-03-13,3675,1597,21,4,46,7,3622
2020-03-14,4585,910,0,2,46,9,4530
2020-03-15,5795,1210,0,2,46,11,5738
2020-03-16,7272,1477,21,6,67,17,7188
2020-03-17,9257,1985,0,7,67,24,9166
2020-03-18,12327,3070,38,4,105,28,12194
2020-03-19,15320,2993,8,16,113,44,15163
2020-03-20,19848,4528,67,23,180,67,19601
2020-03-21,22213,2365,53,17,233,84,21896
2020-03-22,24873,2660,33,10,266,94,24513
2020-03-23,29056,4183,0,29,266,123,28667
2020-03-24,32986,3930,2977,34,3243,157,29586
2020-03-25,37323,4337,304,49,3547,206,33570
2020-03-26,43938,6615,2126,61,5673,267,37998
2020-03-27,50871,6933,985,75,6658,342,43871
2020-03-28,57695,6824,1823,91,8481,433,48781
2020-03-29,62095,4400,730,100,9211,533,52351
2020-03-30,66885,4790,4289,112,13500,645,52740
2020-03-31,71808,4923,2600,130,16100,775,54933
2020-04-01,77872,6064,2600,145,18700,920,58252
2020-04-02,84794,6922,3740,187,22440,1107,61247
2020-04-03,91159,6365,2135,168,24575,1275,65309
2020-04-04,96092,4933,1825,169,26400,1444,68248
2020-04-05,100123,4031,2300,140,28700,1584,69839
2020-04-06,103374,3251,0,226,28700,1810,72864
2020-04-07,107663,4289,7381,206,36081,2016,69566
2020-04-08,113296,5633,10219,333,46300,2349,64647
2020-04-09,118181,4885,6107,258,52407,2607,63167
2020-04-10,122171,3990,1506,160,53913,2767,65491
2020-04-11,124908,2737,3487,-31,57400,2736,64772
2020-04-12,127854,2946,2900,286,60300,3022,64532
2020-04-13,130072,2218,4000,172,64300,3194,62578
2020-04-14,131359,1287,3900,100,68200,3294,59865
2020-04-15,134753,3394,4400,510,72600,3804,58349
2020-04-16,137698,2945,4400,248,77000,4052,56646
2020-04-17,141397,3699,6114,300,83114,4352,53931
2020-04-18,143342,1945,2286,107,85400,4459,53483
2020-04-19,145184,1842,2600,127,88000,4586,52598
2020-04-20,147065,1881,3500,276,91500,4862,50703
2020-04-21,148291,1226,3700,171,95200,5033,48058
