Country,World region,"Social distance
(stranger) Mean","Social distance
(stranger), SD","Personal distance
(acquaintance), Mean","Personal distance
(acquaintance), SD","Intimate distance
(close person), Mean","Intimate distance
(close person), SD
"
Argentina,2,76.52,-31.08,59.1,-24.76,40.3,-20.25
Austria,1,88.1,-30.94,68.0,-25.28,50.7,-24.79
Brazil,2,101.21,-40.05,78.0,-35.27,54.04,-40.5
Bulgaria,1,81.37,-12.98,63.92,-10.91,43.14,-12.51
Canada,1,103.24,-49.31,85.47,-39.25,74.54,-55.47
China,3,115.8,-44.33,83.53,-37.43,57.65,-35.24
Colombia,2,117.4,-40.47,85.6,-34.36,60.8,-37.38
Croatia,1,108.86,-28.74,89.61,-24.06,76.16,-23.84
Czech Republic,1,110.9,-32.32,81.32,-24.56,56.65,-24.71
Estonia,1,118.39,-35.45,94.9,-30.68,69.93,-25.11
Germany,1,96.23,-47.62,69.87,-32.84,41.43,-22.99
Ghana,4,106.8,-34.36,82.33,-36.22,54.95,-34.15
Greece,1,91.28,-33.64,68.3,-24.44,44.68,-23.72
Hong Kong,3,116.0,-40.4,87.2,-34.17,69.8,-36.57
Hungary,1,130.72,-35.0,108.86,-31.64,83.29,-37.43
India,3,110.1,-39.61,87.22,-37.92,58.46,-36.71
Indonesia,3,110.22,-30.88,85.87,-28.21,65.0,-29.89
Iran,3,112.72,-50.72,83.86,-43.05,59.18,-43.02
Italy,1,93.23,-35.93,68.2,-29.24,41.55,-26.25
Kazakhstan,3,93.83,-44.44,67.17,-39.9,47.67,-28.19
Kenya,4,110.85,-39.53,89.15,-38.43,57.45,-41.4
Malaysia,3,111.31,-37.49,76.77,-23.68,45.25,-21.87
Mexico,2,99.37,-42.62,83.16,-44.26,65.82,-49.32
Nigeria,4,102.95,-41.64,81.23,-37.35,62.16,-42.71
Norway,1,104.2,-36.88,71.4,-28.75,35.8,-21.52
Pakistan,3,119.52,-44.9,90.88,-39.23,56.32,-30.09
Peru,2,79.61,-32.58,62.55,-29.07,43.73,-21.75
Poland,1,96.68,-33.84,66.54,-27.11,48.46,-23.45
Portugal,1,110.58,-45.62,76.59,-33.91,46.55,-34.25
Romania,1,139.64,-45.84,94.64,-40.09,47.14,-38.03
Russia,1,89.11,-31.4,73.3,-25.9,46.25,-24.11
Saudi Arabia,3,126.87,-51.59,105.15,-55.95,97.47,-61.35
Serbia,1,91.62,-34.39,65.9,-31.73,43.43,-30.44
Slovakia,1,88.84,-35.02,67.04,-31.76,42.4,-26.8
South Korea,3,105.6,-41.88,84.6,-42.25,66.0,-48.37
Spain,1,98.5,-34.04,81.26,-33.14,61.17,-34.36
Switzerland,1,110.5,-27.09,93.18,-26.49,73.97,-28.82
Turkey,3,123.07,-48.24,92.89,-39.22,58.11,-36.52
United Kingdom,1,99.4,-35.21,80.8,-28.84,56.0,-24.62
Uganda,4,121.51,-51.86,101.72,-51.47,66.24,-48.0
Ukraine,1,85.53,-33.22,64.76,-28.06,39.81,-23.54
USA,1,95.38,-40.02,68.73,-31.72,47.74,-29.02
