,,,,,,,,,,,,,,,,,,,,,
Location,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
World,   677 942,   664 439,   641 267,   612 196,   597 388,   594 692,   605 531,   544 819,   493 789,   479 366,   445 773,   387 849,   322 142,   269 644,   188 677,   123 782,   81 930,   42 186,   16 680,   4 134,573
   Sustainable Development Goal (SDG) regions,,,,,,,,,,,,,,,,,,,,,
      Sub-Saharan Africa,   170 823,   153 576,   135 945,   117 485,   100 168,   85 021,   72 510,   60 907,   49 463,   39 829,   31 465,   24 999,   19 291,   14 094,   9 510,   5 610,   2 604,873,171,20,1
         Eastern Africa,   67 968,   62 070,   56 160,   49 515,   42 593,   35 563,   29 613,   24 495,   19 637,   15 634,   12 183,   9 531,   7 392,   5 457,   3 742,   2 236,   1 099,414,90,12,1
            Burundi,   2 054,   1 819,   1 508,   1 217,   1 043,987,875,664,447,301,260,232,201,138,70,42,22,8,2,0,0
            Comoros,124,114,102,90,80,71,64,54,43,34,28,23,18,12,7,5,2,1,0,0,0
            Djibouti,99,98,89,91,90,87,86,76,67,54,42,36,26,18,14,8,4,2,0,0,0
            Eritrea,495,477,487,374,285,287,269,191,141,140,88,84,68,60,47,30,15,6,2,0,0
            Ethiopia,   16 791,   15 246,   13 853,   12 976,   11 747,   9 692,   7 519,   6 274,   4 934,   4 105,   3 229,   2 475,   2 056,   1 568,   1 188,741,372,152,39,5,0
            Kenya,   7 044,   6 970,   6 736,   6 011,   5 237,   4 358,   4 023,   3 447,   2 759,   2 144,   1 604,   1 202,888,631,381,193,102,36,6,0,0
            Madagascar,   4 109,   3 654,   3 331,   3 012,   2 676,   2 223,   1 830,   1 541,   1 314,   1 074,858,681,529,386,225,135,73,30,8,1,0
            Malawi,   2 924,   2 739,   2 562,   2 176,   1 839,   1 539,   1 292,994,807,630,481,365,278,203,153,91,43,13,2,0,0
            Mauritius,64,69,81,95,94,103,88,87,99,83,85,90,75,63,45,25,15,8,3,1,0
            Mayotte,36,35,35,30,25,19,17,16,15,12,9,7,5,4,3,2,1,1,0,0,0
            Mozambique,   5 157,   4 561,   4 054,   3 541,   2 913,   2 382,   1 962,   1 627,   1 288,   1 002,783,618,475,369,262,159,77,24,4,0,0
            Réunion,65,68,68,71,64,54,49,50,57,60,65,60,50,41,28,20,13,8,3,1,0
            Rwanda,   1 885,   1 676,   1 552,   1 354,   1 184,   1 027,979,834,609,461,354,374,259,186,109,65,26,16,2,0,0
            Seychelles,8,8,7,6,6,7,7,7,7,7,7,6,5,3,2,2,1,0,0,0,0
            Somalia,   2 827,   2 389,   2 119,   1 818,   1 534,   1 160,869,666,561,493,407,327,263,200,135,76,36,12,3,0,0
            South Sudan,   1 707,   1 538,   1 380,   1 201,   1 062,901,744,590,492,405,332,263,201,144,112,70,34,12,3,0,0
            Uganda,   7 796,   7 060,   6 192,   5 257,   4 328,   3 544,   2 849,   2 253,   1 765,   1 368,   1 066,787,568,407,261,151,64,22,3,0,0
Tanzania,   9 739,   8 624,   7 655,   6 434,   5 263,   4 584,   3 903,   3 259,   2 685,   2 136,   1 661,   1 266,948,675,472,269,122,36,5,0,0
            Zambia,   2 946,   2 717,   2 429,   2 122,   1 747,   1 433,   1 193,992,808,606,434,328,238,166,113,67,33,11,2,0,0
            Zimbabwe,   2 097,   2 211,   1 921,   1 639,   1 378,   1 105,995,873,738,520,389,309,240,185,115,86,44,15,3,0,0
         Middle Africa,   30 781,   26 967,   23 136,   19 226,   15 863,   13 347,   11 210,   9 229,   7 458,   6 026,   4 742,   3 783,   2 868,   2 072,   1 438,861,417,141,29,3,0
            Angola,   5 795,   5 104,   4 349,   3 533,   2 883,   2 423,   2 041,   1 659,   1 331,   1 082,787,677,482,304,213,119,60,20,4,0,0
            Cameroon,   4 116,   3 730,   3 320,   2 856,   2 420,   2 132,   1 861,   1 539,   1 203,939,729,559,420,313,210,123,57,16,2,0,0
            Central African Republic,738,697,667,597,483,357,277,224,183,157,129,104,81,58,38,24,11,3,1,0,0
            Chad,   2 930,   2 522,   2 184,   1 855,   1 536,   1 246,990,780,610,473,362,292,236,181,112,68,34,12,3,0,0
            Congo,822,770,685,573,476,398,354,326,294,242,189,139,97,67,44,26,12,3,0,0,0
            Democratic Republic of the Congo,   15 827,   13 660,   11 528,   9 473,   7 730,   6 440,   5 341,   4 421,   3 629,   2 976,   2 422,   1 925,   1 486,   1 099,789,480,233,82,19,2,0
            Equatorial Guinea,200,172,144,121,138,148,144,105,69,47,37,25,20,15,9,6,3,1,0,0,0
            Gabon,320,280,229,193,179,188,189,161,129,103,79,55,41,31,22,15,8,3,0,0,0
            Sao Tome and Principe,32,31,29,25,19,15,14,13,11,8,7,5,4,3,2,1,1,0,0,0,0
         Southern Africa,   6 770,   6 775,   6 384,   5 730,   5 689,   5 936,   6 016,   5 350,   4 270,   3 587,   2 959,   2 442,   1 980,   1 509,992,644,331,117,21,2,0
            Botswana,272,267,247,226,204,199,187,178,149,112,80,66,59,45,30,19,8,3,1,0,0
            Eswatini,144,143,148,129,113,100,83,79,60,44,30,22,20,17,14,9,5,2,0,0,0
            Lesotho,254,225,212,217,204,191,175,153,119,91,75,66,55,42,30,19,10,5,1,0,0
            Namibia,336,318,282,245,244,228,197,159,131,107,82,68,51,36,24,17,9,4,1,0,0
            South Africa,   5 765,   5 821,   5 496,   4 913,   4 924,   5 217,   5 374,   4 781,   3 810,   3 233,   2 692,   2 219,   1 795,   1 370,895,581,298,104,18,1,0
         Western Africa,   65 305,   57 765,   50 265,   43 015,   36 023,   30 175,   25 672,   21 833,   18 098,   14 582,   11 580,   9 243,   7 051,   5 055,   3 338,   1 869,757,202,31,3,0
            Benin,   1 908,   1 689,   1 488,   1 291,   1 116,946,785,651,539,443,363,287,219,161,111,74,35,13,3,0,0
            Burkina Faso,   3 472,   3 080,   2 723,   2 307,   1 920,   1 588,   1 320,   1 108,893,694,554,424,317,222,148,86,36,10,2,0,0
            Cabo Verde,52,53,51,49,46,52,53,46,36,29,25,23,15,11,5,4,4,2,1,0,0
            Cote d'Ivoire,   4 131,   3 619,   3 199,   2 906,   2 538,   2 123,   1 741,   1 431,   1 185,932,739,599,475,347,215,127,55,14,2,0,0
