Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
Hubei,Hubei,30.9756,112.2707,4/26/2020,4512,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/25/2020,4512,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/24/2020,4512,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/23/2020,4512,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/22/2020,4512,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/21/2020,4512,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/20/2020,4512,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/19/2020,4512,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/18/2020,4512,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/17/2020,4512,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/16/2020,3222,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/15/2020,3222,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/14/2020,3221,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/13/2020,3221,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/12/2020,3219,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/11/2020,3219,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/10/2020,3216,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/9/2020,3215,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/8/2020,3213,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/7/2020,3212,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/6/2020,3212,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/5/2020,3210,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/4/2020,3207,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/3/2020,3203,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/2/2020,3199,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,4/1/2020,3193,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,3/31/2020,3187,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,3/30/2020,3186,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,3/29/2020,3182,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,3/28/2020,3177,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,3/27/2020,3174,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,3/26/2020,3169,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,3/25/2020,3163,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,3/24/2020,3160,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,3/23/2020,3153,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,3/22/2020,3153,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,3/21/2020,3139,CHN,142,30,
